timestamp,action,price,balance,regime,reason
1779816600.0,BUY,301660.0,24.71988114857733,ranging,3 bullish / 1 bearish votes (need 3) in ranging regime
1779818400.0,SELL,301599.0,48.98068427225962,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779828000.0,BUY,302264.0,24.526254272259624,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779831300.0,SELL,302201.0,48.926737490803674,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779838500.0,BUY,303001.0,24.522357490803675,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1779855300.0,SELL,301343.0,48.74470526411135,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1779860400.0,BUY,301475.0,24.46044526411135,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779874500.0,SELL,302733.0,48.79731657158295,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779888300.0,BUY,300058.0,24.71325657158295,ranging,3 bullish / 1 bearish votes (need 3) in ranging regime
1779888900.0,SELL,299015.0,48.66564777295068,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1779896400.0,BUY,300291.0,24.551557772950677,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779900300.0,SELL,299874.0,48.584048574673005,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779924000.0,BUY,297000.0,24.800288574673004,unknown,3 bullish / 1 bearish votes (need 3) in unknown regime
1779924300.0,SELL,297311.0,48.561383694673005,unknown,0 bullish / 3 bearish votes (need 3) in unknown regime
1779928500.0,BUY,297999.0,25.378223694673004,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779930900.0,SELL,297000.0,48.43750067211253,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779964500.0,BUY,293302.0,24.473560672112527,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1779967500.0,SELL,293005.0,48.365403074482785,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779969900.0,BUY,293402.0,24.251313074482784,trending,3 bullish / 0 bearish votes (need 3) in trending regime
